Date,Open,High,Low,Close,Adj Close,Volume
02-01-2009,287.946228,297.135284,286.186127,294.049408,261.684845,21707030
05-01-2009,296.929535,314.759033,296.038086,312.210327,277.846893,24091750
06-01-2009,310.873108,317.730621,304.301361,313.364685,278.874176,26378143
07-01-2009,312.930359,316.816284,268.585236,274.471252,244.261612,37187994
09-01-2009,276.585632,276.585632,249.98999,263.613556,234.598953,41508434
12-01-2009,260.516235,261.727753,248.012756,250.961472,223.339371,32218398
13-01-2009,250.230011,261.956329,243.441086,246.309799,219.199707,28787074
14-01-2009,249.407104,278.414307,249.407104,269.67099,239.989639,28656487
15-01-2009,260.996277,265.14505,253.155869,261.121979,232.381561,27446162
16-01-2009,263.099243,281.385895,260.561951,278.265747,247.638382,29143981
19-01-2009,279.922974,285.717529,276.128479,281.13446,250.191345,18574332
20-01-2009,278.140015,278.140015,266.985138,270.562469,240.78299,20330017
21-01-2009,265.156494,270.391052,253.727325,255.978867,227.80452,21731192
22-01-2009,262.847809,263.979279,253.064438,259.739075,231.150864,30601984
23-01-2009,273.842651,305.158539,256.013153,264.276428,235.188812,35473336
27-01-2009,271.09964,281.945923,267.442322,280.231537,249.387848,19613801
28-01-2009,285.27182,294.872314,280.334412,291.214966,259.162384,20092725
29-01-2009,293.72937,296.015228,283.728882,290.323486,258.369019,27750699
30-01-2009,282.985962,304.198486,282.985962,302.552704,269.252289,24320695
02-02-2009,294.872314,309.227325,291.112122,292.586456,260.382874,23472707
03-02-2009,294.872314,305.089966,290.997803,298.575348,265.712646,30233593
04-02-2009,300.586884,305.730011,296.038086,298.872498,265.977081,17353595
05-02-2009,303.787048,303.787048,290.563507,294.597992,262.173035,17965385
06-02-2009,297.158142,308.58728,296.152374,307.410095,273.575012,18991174
09-02-2009,309.730194,319.787872,306.530029,317.662048,282.698608,19414276
10-02-2009,317.479187,323.239471,313.696136,320.462189,285.190491,29734257
11-02-2009,312.016052,317.570618,311.101715,315.73053,280.979645,18397184
12-02-2009,315.147614,315.147614,307.512939,308.941589,274.937927,13756655
13-02-2009,312.473206,320.930786,311.101715,318.279205,283.247803,12707199
16-02-2009,316.461975,319.342133,299.695404,301.775513,268.560547,20098539
17-02-2009,297.42099,298.758209,287.603363,289.683472,257.7995,16749928
18-02-2009,289.614899,301.226898,283.443146,296.0495,263.464752,20011043
19-02-2009,294.872314,299.215393,293.066498,295.729492,263.179962,13143499
20-02-2009,287.111908,293.272217,283.797455,286.506165,254.971909,16088432
24-02-2009,282.300232,288.837708,274.608398,286.471863,254.941376,19993461
25-02-2009,289.157715,293.957977,288.597687,289.512024,257.646881,12927337
26-02-2009,287.557648,296.472382,286.026123,295.055176,262.579956,16797176
27-02-2009,294.735138,295.558044,284.940369,289.397736,257.545197,21043372
02-03-2009,280.860138,288.860565,277.728577,280.162964,249.326813,21602600
03-03-2009,281.157318,286.174713,268.585236,273.579773,243.468185,22910810
04-03-2009,264.093567,278.345734,264.093567,276.837097,246.367004,26146718
05-03-2009,276.128479,278.87149,261.099121,262.824951,233.89711,31137238
06-03-2009,258.298981,269.042389,254.938812,267.419464,237.985931,19961700
09-03-2009,265.385071,266.985138,260.161957,263.636414,234.619278,14641632
12-03-2009,269.956726,277.637115,264.69931,274.756989,244.515823,21282926
13-03-2009,281.13446,295.740906,280.242981,293.557953,261.247498,17995899
16-03-2009,293.557953,304.929962,290.529205,303.467041,270.065948,19804095
17-03-2009,304.015625,306.987213,295.592346,297.203857,264.492035,20804181
18-03-2009,300.609741,311.330292,300.609741,304.335632,270.838898,19112373
19-03-2009,305.844299,309.467346,301.752655,307.60437,273.747864,18991638
20-03-2009,306.072876,310.85025,302.186951,306.118591,272.425659,22337339
23-03-2009,309.501617,331.445618,309.501617,328.805481,292.615448,21749579
24-03-2009,331.457031,337.160187,329.15979,332.005646,295.463409,30171690
25-03-2009,331.445618,354.075348,331.445618,350.235138,311.686493,41856465
26-03-2009,354.235352,360.932831,348.132172,357.846954,318.460541,35940969
27-03-2009,355.218262,361.938599,350.875183,354.018188,315.053131,29506274
30-03-2009,347.697876,350.875183,341.731842,346.634949,308.482544,30059464
31-03-2009,350.875183,354.749664,346.303528,348.532196,310.17099,24999577
01-04-2009,348.132172,364.361572,342.269012,361.447144,321.664429,20902041
02-04-2009,368.018921,384.019745,366.247406,379.756653,337.958649,24013779
06-04-2009,388.5914,398.260468,376.156494,382.09964,340.043854,23007064
08-04-2009,374.86499,397.506134,366.876007,394.340271,350.937225,40225908
09-04-2009,400.020569,404.100769,389.791473,396.763245,353.093475,22721562
13-04-2009,402.294952,408.935303,393.848816,405.403687,360.782928,16645363
15-04-2009,400.020569,420.524475,396.168945,418.318634,372.276337,26455188
16-04-2009,413.987,420.593048,392.785919,396.591827,352.940948,28959952
17-04-2009,400.043427,407.026642,389.128571,392.465881,349.269104,28087132
20-04-2009,393.163055,401.09491,385.916992,392.111572,348.953827,21568730
21-04-2009,387.448486,396.283234,385.094086,389.985748,347.061981,21885372
22-04-2009,393.163055,396.134644,386.534149,392.705902,349.482697,19352080
23-04-2009,392.477325,405.71228,387.677063,403.152161,358.779205,18544724
24-04-2009,400.020569,411.906891,394.763153,408.901031,363.895325,23952523
27-04-2009,409.392487,413.049805,402.534973,408.146698,363.22406,18363875
28-04-2009,407.106628,409.621063,395.67749,397.083282,353.378326,17605096
29-04-2009,400.249146,416.021393,399.07193,412.878357,367.434906,18686453
30-04-2009,413.781281,413.781281,413.781281,413.781281,368.238434,0
04-05-2009,423.107452,433.165131,420.661621,431.359314,383.881775,18748146
05-05-2009,430.879303,433.096558,419.678711,430.570709,383.179932,21342287
06-05-2009,431.79361,443.017059,425.164703,430.079254,382.742523,21357262
07-05-2009,422.878876,439.999756,422.878876,437.862518,389.669098,16073461
08-05-2009,438.8797,441.622711,428.593445,434.376617,386.566956,17434878
11-05-2009,438.651123,440.708374,422.901733,425.530457,378.694458,16438654
12-05-2009,422.867462,451.543213,421.278809,448.000183,398.69104,20060911
13-05-2009,450.823181,451.451782,435.679535,441.851288,393.218994,22865273
14-05-2009,434.822357,440.594086,429.782104,436.353851,388.326538,17705003
15-05-2009,437.736786,448.023041,436.971039,445.897217,396.819519,13795971
18-05-2009,490.768097,579.458374,480.310394,541.182129,481.616882,231075
19-05-2009,560.028809,571.457947,502.882996,509.946228,453.819,45820615
20-05-2009,502.882996,514.929321,488.299377,492.013855,437.860382,29516192
21-05-2009,490.310913,497.62558,480.607574,483.556274,430.333649,17400108
22-05-2009,479.978943,504.528778,477.967438,499.625671,444.634338,19451873
25-05-2009,502.882996,506.311737,492.368164,501.682922,446.46521,13579551
26-05-2009,498.334198,504.940247,486.99646,489.785187,435.876984,10867291
27-05-2009,496.482666,504.025909,492.013855,499.762848,444.756409,22858606
28-05-2009,498.31134,513.397827,498.31134,507.580383,451.713562,19678014
29-05-2009,513.123535,527.501404,505.854584,519.318115,462.159332,27984102
01-06-2009,532.598816,532.598816,515.717957,521.672546,464.254639,13025381
02-06-2009,525.76416,527.672852,508.380432,520.986755,463.644287,14432868
03-06-2009,516.895142,527.455688,508.711853,513.374939,456.87027,15041014
04-06-2009,508.551849,518.620972,493.739655,516.997986,460.094543,16887668
05-06-2009,520.026733,521.398254,500.597168,505.797424,450.126862,20463758
08-06-2009,504.483063,517.00946,497.397003,501.511505,446.312622,16527952
09-06-2009,500.139984,523.684082,497.168427,519.375244,462.210144,18172522
10-06-2009,523.684082,534.861755,522.575439,530.358704,471.984772,17347002
11-06-2009,530.312988,531.455872,521.741089,526.484192,468.536713,11118057
12-06-2009,528.027161,543.799377,526.941345,539.93634,480.508179,21509587
15-06-2009,539.387756,539.387756,494.951172,498.037018,443.220551,31240102
16-06-2009,491.453827,499.431396,486.10498,489.933746,436.009155,22435019
17-06-2009,485.922119,497.854156,465.475342,468.904114,417.294098,21523359
18-06-2009,470.424194,473.738647,454.903381,462.892365,411.944092,27156000
19-06-2009,467.452606,471.441376,451.931793,466.652557,415.290466,21224580
22-06-2009,468.069763,468.59552,441.748413,446.308655,397.185608,20216509
23-06-2009,434.308044,464.869598,434.308044,460.663666,409.960693,26014578
24-06-2009,462.880951,465.338196,450.777466,457.703522,407.326355,20606258
25-06-2009,457.440643,462.652344,444.011383,447.588715,398.32486,23343095
26-06-2009,449.428802,465.623932,448.697357,463.840973,412.7883,17407514
29-06-2009,463.109528,482.973389,458.252136,477.053101,424.546234,16301991
30-06-2009,480.024689,482.150513,459.589325,462.515198,411.608429,13042464
01-07-2009,464.001007,476.595917,454.42337,470.607056,418.809662,16265759
02-07-2009,498.99707,498.99707,456.103455,459.760773,409.157196,16843151
03-07-2009,457.166351,465.189636,452.594696,463.486694,412.473053,18954579
06-07-2009,468.138336,469.052673,425.404724,432.742249,385.112457,25913914
07-07-2009,434.536621,437.279633,417.210022,424.124664,377.443359,25528545
08-07-2009,424.124664,432.022217,410.83255,418.227203,372.195007,25247579
09-07-2009,419.450134,428.570587,418.330078,423.656067,377.026398,16134174
10-07-2009,423.564636,426.753357,398.877655,405.76944,361.108429,18379458
13-07-2009,399.951996,404.249359,392.500183,400.237701,356.185547,18152998
14-07-2009,405.506561,417.164307,403.677887,414.661316,369.021576,16182516
15-07-2009,422.878876,432.022217,412.94693,428.890625,381.684784,13885505
16-07-2009,434.536621,449.943115,429.736389,442.399872,393.707123,24178708
17-07-2009,444.617126,449.394531,440.091187,442.777039,394.042755,14458902
